"Ru36","0001","NO2* + * -> NO* + O*",0.5692472089831426
"Rh27","111","NO2* + * -> NO* + O*",-1.0895914773573168
"Rh27","111","2.0H2(g) + NO(g) + * -> NH2* + H2O(g)",-4.411110145112616
"Rh27","111","2.5H2(g) + NO(g) + * -> NH3* + H2O(g)",-5.13407889008522
"Rh27","111","OH* + 0.5H2(g) -> H2O(g) + *",-0.20146425120765343
"Rh27","111","H2(g) + NO(g) + * -> NHOH*",-2.058098345703911
"Rh27","111","1.5H2(g) + NO(g) + * -> H2O(g) + NH*",-3.9622434504854027
"Rh27","111","0.5H2(g) + NO(g) + * -> NHO*",-2.1845632577314973
"Rh27","111","NO3* + * -> NO2* + O*",-1.2395878427487332
"Rh27","111","H2(g) + NO(g) + * -> H2O(g) + N*",-3.3389313691295683
"Rh27","111","NO(g) + * -> NO*",-2.301890382557758
"Rh27","111","0.5H2(g) + O* -> OH*",-0.36248449292907026
"Rh27","111","0.5H2(g) + NO(g) + * -> NOH*",-2.0540731015935307
"Pt27","111","NO3* + * -> NO2* + O*",-0.02006962098676013
"Rh27","111","NO* + * -> N* + O*",-0.269270736942417
"Rh30","step","NO* + * -> N* + O*",-0.7416133737569908
"Ni27","111","NO2* + * -> NO* + O*",0.36401690208003856
"Pt27","111","NO* + * -> N* + O*",0.522064027874876
"Pt30","step","NO* + * -> N* + O*",0.2883708162989933
"Ru36","0001","NO* + * -> N* + O*",-0.8328600867389468
"Ag27","111","NO2* + * -> NO* + O*",1.3226969910101616
"Pt27","111","NO2* + * -> NO* + O*",-0.3463837204835727
"Pt27","111","2.0H2(g) + NO(g) + * -> NH2* + H2O(g)",-4.190717790526833
"Pt27","111","2.5H2(g) + NO(g) + * -> NH3* + H2O(g)",-5.205491768738284
"Pt27","111","OH* + 0.5H2(g) -> H2O(g) + *",-0.907351797541196
"Pt27","111","H2(g) + NO(g) + * -> NHOH*",-1.8793902275028813
"Pt27","111","1.5H2(g) + NO(g) + * -> H2O(g) + NH*",-3.8276824030981516
"Pt27","111","0.5H2(g) + NO(g) + * -> NHO*",-1.7667445493570995
"Pt27","111","NO3* + * -> NO2* + O*",-0.8093002654786687
"Pt27","111","H2(g) + NO(g) + * -> H2O(g) + N*",-3.012794619844499
"Pt27","111","NO(g) + * -> NO*",-2.0095780651681707
"Pt27","111","0.5H2(g) + O* -> OH*",-0.29761574831354665
"Pt27","111","0.5H2(g) + NO(g) + * -> NOH*",-1.8482348243051092
"Ni27","111","NO* + * -> N* + O*",-0.48547410291212145
"Ni30","step","NO* + * -> N* + O*",-1.3237943581407308
"Cu36","111","NO3* + * -> NO2* + O*",-0.6919226635291125
"Rh27","111","NO3* + * -> NO2* + O*",-0.35808019420073833
"Co30","step","NO* + * -> N* + O*",-1.9497792777838185
"Ag36","111","HNO3(g) + 2.0* -> NO2* + OH*",-1.044998003737419
