,Adsorption Energy O,Bulk ICOHP,Oxidation state bulk,Metal Symbol,Outer Electrons,Adsorbate O,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Oxidation state surface,Adsorption Energy OH,Adsorbate OH,Adsorption Energy O-OH,Adsorbate,Outer electrons surface,Outer electrons bulk,Is d0,Normalized ICOHP,Normalized ICOHP Pred,Ionization energy surface,Ionization energy bulk,Electronegativity,Group,Period,Atomic nos
16,3.592636694999996,-4.47904,2,Mn,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/04_MnO/no_sym/ICOHPLIST.lobster,11.410821419150508,-3.13807987214662,-4.272045248035156,3d,0.0,1.93,0.9874598399999996,OH,2.6051768549999963,O-OH,5.07,5,0,-2.23952,-2.136022624017578,16.790693937823832,16.834,1.55,7,4,25
17,3.4642642899999885,-6.975040000000001,3,Mn,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/04_Mn2O3/no_sym/ICOHPLIST.lobster,10.43645256323614,-3.023842386797459,-7.076374640650404,3d,0.0,2.833,1.3870310699999775,OH,2.0772332200000108,O-OH,4.167,4,0,-2.3250133333333336,-2.358791546883468,17.039236145428877,17.066666666666666,1.55,7,4,25
18,4.094782609999982,-9.56053,4,Mn,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/03_MnO2/no_sym/ICOHPLIST.lobster,9.302022995835172,-2.50789743650093,-9.795701569484493,3d,0.0,3.333,1.5346961499999736,OH,2.560086460000008,O-OH,3.667,3,0,-2.3901325,-2.448925392371123,17.47962796279628,18.1,1.55,7,4,25
19,4.015549669999984,-9.56053,4,Mn,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/03_MnO2/no_sym/ICOHPLIST.lobster,9.302022995835172,-2.50789743650093,-9.795701569484493,3d,0.0,4.0,1.479763840000004,OH,2.5357858299999805,O-OH,3.0,3,0,-2.3901325,-2.448925392371123,18.1,18.1,1.55,7,4,25
20,3.857908779999974,-10.30656,5,Mn,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/02_Mn2O5/no_sym/ICOHPLIST.lobster,7.909352022848464,-2.165854805564052,-10.14960227982483,3d,0.0,4.0,1.3904358499999887,OH,2.4674729299999854,O-OH,3.0,2,0,-2.061312,-2.029920455964966,18.1,19.119999999999997,1.55,7,4,25
21,3.796402229999984,-10.30656,5,Mn,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/02_Mn2O5/no_sym/ICOHPLIST.lobster,7.909352022848464,-2.165854805564052,-10.14960227982483,3d,0.0,5.0,1.401593599999984,OH,2.39480863,O-OH,2.0,2,0,-2.061312,-2.029920455964966,19.119999999999997,19.119999999999997,1.55,7,4,25
22,3.2693677150000013,-4.55058,2,Fe,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/05_FeO/no_sym/ICOHPLIST.lobster,11.873138360360416,-3.531003466735678,-4.39130370382644,3d,0.0,1.93,0.507777125000004,OH,2.7615905899999973,O-OH,6.07,6,0,-2.27529,-2.19565185191322,15.357188601036269,15.3255,1.83,8,4,26
23,4.280780579999998,-6.16804,3,Fe,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/05_Fe2O3/no_sym/ICOHPLIST.lobster,11.03806711391862,-2.602998384262561,-6.167169181344326,3d,0.0,2.833,1.3946918299999993,OH,2.886088749999999,O-OH,5.167,5,0,-2.0560133333333335,-2.0557230604481087,17.95225803035651,18.30333333333333,1.83,8,4,26
24,4.711598299999992,-8.18512,4,Fe,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/04_FeO2/no_sym/ICOHPLIST.lobster,10.095527709415736,-2.7064079920110737,-8.412773275083902,3d,0.0,3.333,1.8822180100000023,OH,2.829380289999989,O-OH,4.667,4,0,-2.04628,-2.1031933187709755,18.481839183918392,18.75,1.83,8,4,26
25,4.525998889999997,-8.18512,4,Fe,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/04_FeO2/no_sym/ICOHPLIST.lobster,10.095527709415736,-2.7064079920110737,-8.412773275083902,3d,0.0,4.0,1.833247540000002,OH,2.6927513499999947,O-OH,4.0,4,0,-2.04628,-2.1031933187709755,18.75,18.75,1.83,8,4,26
