,Adsorption Energy O,Bulk ICOHP,Oxidation state bulk,Metal Symbol,Outer Electrons,Adsorbate O,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Oxidation state surface,Adsorption Energy OH,Adsorbate OH,Adsorption Energy O-OH,Adsorbate,Outer electrons surface,Outer electrons bulk,Is d0,Normalized ICOHP,Normalized ICOHP Pred,Ionization energy surface,Ionization energy bulk,Electronegativity,Group,Period,Atomic nos
61,-0.055886049999998,-14.13476,4,Mo,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/02_MoO2/no_sym/ICOHPLIST.lobster,7.40144463084383,-4.241225049455491,-13.467448941628913,4d,0.0,4.0,-0.6243819400000064,OH,0.5684958900000083,O-OH,2.0,2,0,-3.53369,-3.366862235407228,13.62125,13.62125,2.16,6,5,42
62,-0.2186883200000124,-16.632709999999996,5,Mo,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/01_Mo2O5/no_sym/ICOHPLIST.lobster,5.609246121539716,-4.030668648407914,-16.48316791304498,4d,0.0,4.0,-0.4429050100000324,OH,0.2242166900000199,O-OH,2.0,1,0,-3.326541999999999,-3.296633582608996,13.62125,13.765407999999999,2.16,6,5,42
63,0.1462493899999799,-16.632709999999996,5,Mo,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/01_Mo2O5/no_sym/ICOHPLIST.lobster,5.609246121539716,-4.030668648407914,-16.48316791304498,4d,0.0,5.0,-0.3700403500000107,OH,0.5162897399999906,O-OH,1.0,1,0,-3.326541999999999,-3.296633582608996,13.765407999999999,13.765407999999999,2.16,6,5,42
65,0.0431192199999941,-10.63256,3,Tc,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/04_Tc2O3/no_sym/ICOHPLIST.lobster,9.821444891389376,-5.074700465141147,-10.73173024088706,4d,0.0,2.833,-0.6444628100000216,OH,0.6875820300000157,O-OH,4.167,4,0,-3.5441866666666666,-3.57724341362902,13.797334980585951,13.666666666666666,2.1,7,5,43
66,0.5412371900000039,-13.58426,4,Tc,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/03_TcO2/no_sym/ICOHPLIST.lobster,8.753865902084174,-4.507567186379954,-13.599228373445484,4d,0.0,3.333,-0.3635554699999943,OH,0.9047926599999982,O-OH,3.667,3,0,-3.396065,-3.399807093361371,13.8997899789979,14.25,2.1,7,5,43
67,0.9260291299999892,-13.58426,4,Tc,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/03_TcO2/no_sym/ICOHPLIST.lobster,8.753865902084174,-4.507567186379954,-13.599228373445484,4d,0.0,4.0,0.1673353699999893,OH,0.7586937599999999,O-OH,3.0,3,0,-3.396065,-3.399807093361371,14.25,14.25,2.1,7,5,43
68,0.5289699199999802,-16.29654,5,Tc,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/02_Tc2O5/no_sym/ICOHPLIST.lobster,7.443263364473897,-4.004269079291812,-16.025180940884393,4d,0.0,4.0,-0.127957140000035,OH,0.6569270600000152,O-OH,3.0,2,0,-3.259308,-3.2050361881768787,14.25,14.4,2.1,7,5,43
69,0.8341073499999823,-16.29654,5,Tc,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/02_Tc2O5/no_sym/ICOHPLIST.lobster,7.443263364473897,-4.004269079291812,-16.025180940884393,4d,0.0,5.0,0.0472706500000015,OH,0.7868366999999807,O-OH,2.0,2,0,-3.259308,-3.2050361881768787,14.4,14.4,2.1,7,5,43
70,1.754185239999984,-18.705,6,Tc,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+6/TcO3/no_sym/ICOHPLIST.lobster,5.640938795216505,-3.0342437524924515,-18.87004876351013,4d,0.0,5.0,0.3946813699999723,OH,1.3595038700000115,O-OH,2.0,1,0,-3.1174999999999997,-3.1450081272516885,14.4,14.666666666666666,2.1,7,5,43
71,0.6144019299999854,-9.82381,3,Ru,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/05_Ru2O3/no_sym/ICOHPLIST.lobster,10.638948635278814,-4.383979682538225,-9.942430549584936,4d,0.0,2.833,-0.3795794499999942,OH,0.9939813799999796,O-OH,5.167,5,0,-3.2746033333333333,-3.3141435165283117,14.909809389339923,15.0,2.2,8,5,44
72,1.625445419999977,-12.48215,4,Ru,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/04_RuO2/no_sym/ICOHPLIST.lobster,9.730489916216673,-3.998975475552759,-12.751590228293704,4d,0.0,3.333,0.1680003699999872,OH,1.4574450499999898,O-OH,4.667,4,0,-3.1205375,-3.187897557073426,14.900090009000902,14.75,2.2,8,5,44
73,1.827437609999976,-12.48215,4,Ru,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/04_RuO2/no_sym/ICOHPLIST.lobster,9.730489916216673,-3.998975475552759,-12.751590228293704,4d,0.0,4.0,0.4127437599999837,OH,1.414693849999992,O-OH,4.0,4,0,-3.1205375,-3.187897557073426,14.75,14.75,2.2,8,5,44
74,1.662070779999965,-15.201719999999998,5,Ru,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/03_Ru2O5/no_sym/ICOHPLIST.lobster,8.672797620930625,-3.4982795689180803,-14.492729829758735,4d,0.0,4.0,0.330817909999979,OH,1.331252869999986,O-OH,4.0,3,0,-3.0403439999999997,-2.898545965951747,14.75,15.2,2.2,8,5,44
75,1.8949301000000105,-15.201719999999998,5,Ru,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/03_Ru2O5/no_sym/ICOHPLIST.lobster,8.672797620930625,-3.4982795689180803,-14.492729829758735,4d,0.0,5.0,0.4742302200000097,OH,1.4206998800000008,O-OH,3.0,3,0,-3.0403439999999997,-2.898545965951747,15.2,15.2,2.2,8,5,44
76,2.644637490000008,-16.95392,6,Ru,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+6/RuO3/no_sym/ICOHPLIST.lobster,7.374332383135992,-3.0338009061003293,-17.42770934253782,4d,0.0,5.0,0.7694890300000026,OH,1.8751484600000052,O-OH,3.0,2,0,-2.8256533333333334,-2.9046182237563034,15.2,15.5,2.2,8,5,44
77,2.1881089899999893,-8.89071,3,Rh,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/06_Rh2O3/no_sym/ICOHPLIST.lobster,11.362366073853735,-3.868307658908994,-9.042245956338324,4d,0.0,2.833,0.1943174399999634,OH,1.9937915500000256,O-OH,6.167,6,0,-2.9635700000000003,-3.014081985446108,14.180381221320154,14.0,2.28,9,5,45
78,2.541768879999978,-11.00606,4,Rh,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/05_RhO2/no_sym/ICOHPLIST.lobster,10.56321888026094,-3.527456367139543,-11.252992088812055,4d,0.0,3.333,0.4624788099999648,OH,2.079290070000013,O-OH,5.667,5,0,-2.751515,-2.813248022203014,14.699369936993701,15.75,2.28,9,5,45
79,2.6952608900000143,-11.00606,4,Rh,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/05_RhO2/no_sym/ICOHPLIST.lobster,10.56321888026094,-3.527456367139543,-11.252992088812055,4d,0.0,4.0,0.6185678900000084,OH,2.076693000000006,O-OH,5.0,5,0,-2.751515,-2.813248022203014,15.75,15.75,2.28,9,5,45
80,2.961564509999988,-12.513880000000002,5,Rh,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/04_Rh2O5/no_sym/ICOHPLIST.lobster,9.661226717114886,-2.950002729341735,-11.967179667393626,4d,0.0,4.0,0.6903577299999881,OH,2.27120678,O-OH,5.0,4,0,-2.5027760000000003,-2.393435933478725,15.75,16.0,2.28,9,5,45
81,2.758158460000004,-12.513880000000002,5,Rh,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/04_Rh2O5/no_sym/ICOHPLIST.lobster,9.661226717114886,-2.950002729341735,-11.967179667393626,4d,0.0,5.0,0.8179115000000081,OH,1.940246959999996,O-OH,4.0,4,0,-2.5027760000000003,-2.393435933478725,16.0,16.0,2.28,9,5,45
82,3.4811637999999974,-5.46946,2,Pd,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/07_PdO/no_sym/ICOHPLIST.lobster,12.839458420143776,-3.461208593534137,-5.338039261230952,4d,0.0,1.93,0.9448507549999974,OH,2.536313045,O-OH,8.07,8,0,-2.73473,-2.669019630615476,16.572538860103627,16.465,2.2,10,5,46
83,3.6482599899999855,-7.6445,3,Pd,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/07_Pd2O3/no_sym/ICOHPLIST.lobster,12.171663195331568,-3.3967002397621235,-7.5658376039475215,4d,0.0,2.833,0.9838424399999894,OH,2.664417549999996,O-OH,7.167,7,0,-2.5481666666666665,-2.5219458679825073,15.466752559124604,15.333333333333334,2.2,10,5,46
84,4.116144020000007,-9.45992,4,Pd,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/06_PdO2/no_sym/ICOHPLIST.lobster,11.443825069350297,-2.520320089014622,-9.856402686279402,4d,0.0,3.333,0.8814808300000152,OH,3.234663189999992,O-OH,6.667,6,0,-2.36498,-2.4641006715698506,15.3000300030003,15.25,2.2,10,5,46
85,3.5204086000000103,-9.45992,4,Pd,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/06_PdO2/no_sym/ICOHPLIST.lobster,11.443825069350297,-2.520320089014622,-9.856402686279402,4d,0.0,4.0,1.2362825600000065,OH,2.284126040000004,O-OH,6.0,6,0,-2.36498,-2.4641006715698506,15.25,15.25,2.2,10,5,46
86,3.29671823999999,-10.52812,5,Pd,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/05_Pd2O5/no_sym/ICOHPLIST.lobster,10.638948635278814,-2.130221565719351,-10.321717137835204,4d,0.0,4.0,1.077498179999992,OH,2.219220059999998,O-OH,6.0,5,0,-2.1056239999999997,-2.064343427567041,15.25,16.82,2.2,10,5,46
87,3.5185013900000115,-10.52812,5,Pd,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/05_Pd2O5/no_sym/ICOHPLIST.lobster,10.638948635278814,-2.130221565719351,-10.321717137835204,4d,0.0,5.0,0.9859642799999904,OH,2.532537110000021,O-OH,5.0,5,0,-2.1056239999999997,-2.064343427567041,16.82,16.82,2.2,10,5,46
88,4.5419518549999935,-3.84556,2,Ag,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/08_AgO/no_sym/ICOHPLIST.lobster,13.815951135151863,-2.6525965332294312,-3.794640012200156,4d,0.0,1.93,1.8599638949999928,OH,2.6819879600000007,O-OH,9.07,9,0,-1.92278,-1.897320006100078,17.56259481865285,17.415,1.93,11,5,47
89,4.699578740000007,-5.224449999999999,3,Ag,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/08_Ag2O3/no_sym/ICOHPLIST.lobster,13.180132600308918,-2.512469272329219,-5.263083067886916,4d,0.0,2.833,2.0584894400000024,OH,2.6410893000000044,O-OH,8.167,8,0,-1.741483333333333,-1.7543610226289719,16.46085774797035,16.333333333333332,1.93,11,5,47
90,4.776718740000007,-6.7414900000000015,4,Ag,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/07_AgO2/no_sym/ICOHPLIST.lobster,12.494618513587849,-1.91620185331124,-6.859956848549993,4d,0.0,3.333,2.088802900000005,OH,2.6879158400000023,O-OH,7.667,7,0,-1.6853725000000004,-1.7149892121374983,16.3000300030003,16.25,1.93,11,5,47
91,4.596392219999999,-6.7414900000000015,4,Ag,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/07_AgO2/no_sym/ICOHPLIST.lobster,12.494618513587849,-1.91620185331124,-6.859956848549993,4d,0.0,4.0,1.907824500000004,OH,2.6885677199999947,O-OH,7.0,7,0,-1.6853725000000004,-1.7149892121374983,16.25,16.25,1.93,11,5,47
92,4.870094635000001,-3.053270000000001,2,Cd,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/09_CdO/no_sym/ICOHPLIST.lobster,14.79850711489767,-2.026947884473842,-2.9468573286172406,4d,0.0,1.93,2.148980385000001,OH,2.7211142499999994,O-OH,10.07,10,0,-1.5266350000000004,-1.4734286643086203,18.668747067357515,18.735,1.69,12,5,48
93,4.44477246000001,-3.6824500000000007,3,Cd,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/09_Cd2O3/no_sym/ICOHPLIST.lobster,14.187795153613257,-1.806973893594226,-3.708239427535624,4d,0.0,2.833,2.132988860000012,OH,2.3117835999999983,O-OH,9.167,9,0,-1.2274833333333335,-1.2360798091785414,17.204549947052595,17.0,1.69,12,5,48
94,5.024646590000003,-3.90265,4,Cd,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/08_CdO2/no_sym/ICOHPLIST.lobster,13.534864129250376,-1.679448822700005,-4.03612735777588,4d,0.0,3.333,2.256772500000011,OH,2.7678740899999923,O-OH,8.667,8,0,-0.9756625,-1.00903183944397,16.99000900090009,16.975,1.69,12,5,48
95,4.708414300000001,-3.90265,4,Cd,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/08_CdO2/no_sym/ICOHPLIST.lobster,13.534864129250376,-1.679448822700005,-4.03612735777588,4d,0.0,4.0,2.0806685000000016,OH,2.6277458,O-OH,8.0,8,0,-0.9756625,-1.00903183944397,16.975,16.975,1.69,12,5,48
96,4.128877860000017,-4.050820000000001,3,In,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/10_In2O3/no_sym/ICOHPLIST.lobster,14.64573750728753,-1.8669037308368812,-4.352012643629938,4d,-4.707586666666666,2.833,1.7646770199999935,OH,2.364200840000024,O-OH,10.167,10,0,-1.3502733333333337,-1.4506708812099793,17.957367825626545,18.483333333333334,1.78,13,5,49
97,4.851615380000013,-4.518929999999999,4,In,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/09_InO2/no_sym/ICOHPLIST.lobster,14.04133011618468,-1.6098209809387958,-4.947085830364296,4d,-3.9672075,3.333,2.127687750000007,OH,2.7239276300000057,O-OH,9.667,9,0,-1.1297324999999998,-1.236771457591074,18.02041704170417,17.325,1.78,13,5,49
98,4.609503860000004,-4.518929999999999,4,In,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/09_InO2/no_sym/ICOHPLIST.lobster,14.04133011618468,-1.6098209809387958,-4.947085830364296,4d,-3.9672075,4.0,2.027657860000005,OH,2.5818459999999988,O-OH,9.0,9,0,-1.1297324999999998,-1.236771457591074,17.325,17.325,1.78,13,5,49
99,4.130374969999991,-5.35698,5,In,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/08_In2O5/no_sym/ICOHPLIST.lobster,13.395139502568227,-1.6623818455479629,-4.50846522609788,4d,-3.097802,4.0,1.627310289999997,OH,2.5030646799999943,O-OH,9.0,8,0,-1.071396,-0.901693045219576,17.325,18.0,1.78,13,5,49
100,4.433789279999985,-5.39426,4,Sn,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/10_SnO2/no_sym/ICOHPLIST.lobster,14.36627026368095,-2.6931685706851294,-5.863514301608698,4d,-4.756832500000001,3.333,1.4002222199999892,OH,3.033567059999996,O-OH,10.667,10,0,-1.348565,-1.4658785754021746,15.847955295529552,19.2575,1.96,14,5,50
101,4.526084319999995,-5.39426,4,Sn,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/10_SnO2/no_sym/ICOHPLIST.lobster,14.36627026368095,-2.6931685706851294,-5.863514301608698,4d,-4.756832500000001,4.0,1.6606341699999945,OH,2.865450150000001,O-OH,10.0,10,0,-1.348565,-1.4658785754021746,19.2575,19.2575,1.96,14,5,50
102,3.841727179999992,-6.45963,5,Sn,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/09_Sn2O5/no_sym/ICOHPLIST.lobster,13.77339606218517,-3.314190804955404,-5.773984150939496,4d,-3.752534,4.0,0.9694774000000166,OH,2.872249779999976,O-OH,10.0,9,0,-1.291926,-1.1547968301878992,19.2575,18.8,1.96,14,5,50
104,-2.2170061799999985,-11.98389,3,Hf,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/01_Hf2O3/no_sym/ICOHPLIST.lobster,6.208784355118703,-6.396407326038085,-11.905340774733329,5d,0.0,2.833,-2.7323724999999968,OH,0.5153663199999983,O-OH,1.1669999999999998,1,0,-3.9946300000000003,-3.9684469249111096,11.184246381927284,11.123333333333333,1.3,4,6,72
107,-1.8884112399999824,-11.737270000000002,3,Ta,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/02_Ta2O3/no_sym/ICOHPLIST.lobster,7.961391723895566,-5.903030347664972,-11.708588895443777,5d,0.0,2.833,-1.923207609999963,OH,0.0347963699999809,O-OH,2.167,2,0,-3.9124233333333343,-3.9028629651479254,11.652912107306742,11.666666666666666,1.5,5,6,73
108,-1.0716364600000077,-15.05183,4,Ta,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/01_TaO2/no_sym/ICOHPLIST.lobster,6.033606664193644,-5.195342649436199,-15.089102015439492,5d,0.0,3.333,-1.845709480000011,OH,0.774073020000003,O-OH,1.6669999999999998,1,0,-3.7629575,-3.772275503859873,11.827055505550554,12.068,1.5,5,6,73
109,-0.3860777400000188,-15.05183,4,Ta,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/01_TaO2/no_sym/ICOHPLIST.lobster,6.033606664193644,-5.195342649436199,-15.089102015439492,5d,0.0,4.0,-1.4648872700000195,OH,1.078809530000001,O-OH,1.0,1,0,-3.7629575,-3.772275503859873,12.068,12.068,1.5,5,6,73
112,-1.3415555999999924,-10.791720000000002,3,W,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/03_W2O3/no_sym/ICOHPLIST.lobster,9.131748966997757,-5.435051892349709,-10.295343480802426,5d,0.0,2.833,-1.686910459999979,OH,0.3453548599999863,O-OH,3.167,3,0,-3.5972400000000007,-3.4317811602674753,12.768891634309918,12.736666666666666,1.7,6,6,74
113,-0.7526936900000294,-13.41469,4,W,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/02_WO2/no_sym/ICOHPLIST.lobster,7.764570910715464,-4.749690373236788,-13.63597795575858,5d,0.0,3.333,-1.4536935800000208,OH,0.7009998899999914,O-OH,2.667,2,0,-3.3536725,-3.408994488939645,12.800942094209422,12.8975,1.7,6,6,74
114,-0.0273224100000106,-13.41469,4,W,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/02_WO2/no_sym/ICOHPLIST.lobster,7.764570910715464,-4.749690373236788,-13.63597795575858,5d,0.0,4.0,-0.8223370100000125,OH,0.7950146000000018,O-OH,2.0,2,0,-3.3536725,-3.408994488939645,12.8975,12.8975,1.7,6,6,74
115,-1.1611024299999997,-15.9907,5,W,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/01_W2O5/no_sym/ICOHPLIST.lobster,5.88444438060808,-4.6564220482026535,-15.767658977195357,5d,0.0,4.0,-1.1664782000000002,OH,0.0053757700000005,O-OH,2.0,1,0,-3.19814,-3.153531795439071,12.8975,12.9532,1.7,6,6,74
116,-0.9181764400000249,-15.9907,5,W,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/01_W2O5/no_sym/ICOHPLIST.lobster,5.88444438060808,-4.6564220482026535,-15.767658977195357,5d,0.0,5.0,-1.0328901199999905,OH,0.1147136799999657,O-OH,1.0,1,0,-3.19814,-3.153531795439071,12.9532,12.9532,1.7,6,6,74
118,-0.6407349999999497,-11.10006,3,Re,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/04_Re2O3/no_sym/ICOHPLIST.lobster,10.020018489055335,-5.706482806756009,-11.223838489621883,5d,0.0,2.833,-1.228741819999982,OH,0.5880068200000323,O-OH,4.167,4,0,-3.70002,-3.7412794965406277,13.088351570773032,13.033333333333333,1.9,7,6,75
119,-0.4969995900000015,-14.33968,4,Re,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/03_ReO2/no_sym/ICOHPLIST.lobster,8.930854793727422,-5.2070521362184845,-14.388278545433568,5d,0.0,3.333,-1.2456720500000245,OH,0.748672460000023,O-OH,3.667,3,0,-3.58492,-3.597069636358392,13.010021002100212,12.975,1.9,7,6,75
120,0.092132499999991,-14.33968,4,Re,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/03_ReO2/no_sym/ICOHPLIST.lobster,8.930854793727422,-5.2070521362184845,-14.388278545433568,5d,0.0,4.0,-0.5968070200000284,OH,0.6889395200000195,O-OH,3.0,3,0,-3.58492,-3.597069636358392,12.975,12.975,1.9,7,6,75
121,0.1114729499999782,-17.0489,5,Re,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/02_Re2O5/no_sym/ICOHPLIST.lobster,7.593754010300831,-4.280337832840422,-16.810986223493973,5d,0.0,4.0,-0.8600174800000104,OH,0.9714904299999888,O-OH,3.0,2,0,-3.40978,-3.3621972446987947,12.975,13.4,1.9,7,6,75
122,0.2946670599999947,-17.0489,5,Re,2,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/02_Re2O5/no_sym/ICOHPLIST.lobster,7.593754010300831,-4.280337832840422,-16.810986223493973,5d,0.0,5.0,-0.6760553100000095,OH,0.9707223700000044,O-OH,2.0,2,0,-3.40978,-3.3621972446987947,13.4,13.4,1.9,7,6,75
123,0.6065444299999854,-20.04511,6,Re,1,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+6/ReO3/no_sym/ICOHPLIST.lobster,5.754989377708871,-3.672166928823168,-20.116842163412823,5d,0.0,5.0,-0.5072324000000208,OH,1.1137768300000062,O-OH,2.0,1,0,-3.340851666666667,-3.3528070272354706,13.4,13.784999999999998,1.9,7,6,75
124,-0.3598906100000079,-10.615200000000002,3,Os,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/05_Os2O3/no_sym/ICOHPLIST.lobster,10.638948635278814,-5.225050465241926,-10.7417699906723,5d,0.0,2.833,-1.0434500599999978,OH,0.68355944999999,O-OH,5.167,5,0,-3.5384000000000007,-3.5805899968907666,13.52912107306742,13.666666666666666,2.2,8,6,76
125,0.3907408999999973,-13.920360000000002,4,Os,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/04_OsO2/no_sym/ICOHPLIST.lobster,9.730489916216673,-4.807806107734323,-13.870497791419272,5d,0.0,3.333,-0.6594035900000108,OH,1.050144490000008,O-OH,4.667,4,0,-3.4800900000000006,-3.467624447854818,13.699969996999702,13.75,2.2,8,6,76
126,0.6367953199999761,-13.920360000000002,4,Os,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/04_OsO2/no_sym/ICOHPLIST.lobster,9.730489916216673,-4.807806107734323,-13.870497791419272,5d,0.0,4.0,-0.3630178800000294,OH,0.9998132000000056,O-OH,4.0,4,0,-3.4800900000000006,-3.467624447854818,13.75,13.75,2.2,8,6,76
